City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
3,New Norfolk,AU,56.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
4,Bluff,NZ,51.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
5,Bredasdorp,ZA,74.52,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
6,Gat,IL,61.48,clear sky,31.61,34.7642,OlusHome
7,Wharton,US,61.92,scattered clouds,29.3116,-96.1027,"Countryside Inn Wharton, TX"
8,Port Alfred,ZA,79.2,clear sky,-33.5906,26.891,The Halyards Hotel
10,Castro,BR,78.24,clear sky,-24.7911,-50.0119,CHACARA BAILLY
11,Haverfordwest,GB,50.05,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
19,Mataura,NZ,51.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
20,Elizabeth City,US,65.03,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
22,Necochea,AR,67.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
23,Punta Arenas,CL,57.31,scattered clouds,-53.15,-70.9167,Hotel Hain
24,Cidreira,BR,79.41,clear sky,-30.1811,-50.2056,Hotel Castelo
27,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
28,Guadalupe Y Calvo,MX,50.32,clear sky,26.1,-106.9667,Hotel Pizarro
29,Rikitea,PF,78.93,light rain,-23.1203,-134.9692,People ThankYou
31,Mar Del Plata,AR,64.42,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
32,Westport,US,57.65,overcast clouds,41.1415,-73.3579,The Westport Inn
37,Pisco,PE,72.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
40,Esperance,AU,66.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
41,Tarakan,ID,79.81,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
42,Kruisfontein,ZA,75.79,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
44,Busselton,AU,58.08,clear sky,-33.65,115.3333,Observatory Guest House
45,Port Elizabeth,ZA,79.09,clear sky,-33.918,25.5701,39 On Nile Guest House
50,Broken Hill,AU,74.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
54,Abha,SA,62.42,few clouds,18.2164,42.5053,Abha Hotel
58,Bethel,US,56.84,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
59,Chuy,UY,75.99,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
60,Cabo San Lucas,MX,69.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
65,Pyinmana,MM,64.54,broken clouds,19.7333,96.2167,Anh Mai Daung
66,Russell,US,61.97,clear sky,32.3502,-85.1999,Macs
67,Hilo,US,67.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Auki,SB,74.98,overcast clouds,-8.7676,160.7034,Auki Motel
74,Camopi,GF,79.03,broken clouds,3.1655,-52.3158,La pousada
75,Isangel,VU,79.38,broken clouds,-19.55,169.2667,Tanna Lodge
76,Tazmalt,DZ,56.46,overcast clouds,36.3868,4.3989,Hôtel Numédia
81,Atuona,PF,77.16,light rain,-9.8,-139.0333,Villa Enata
84,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
86,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
87,Alta Floresta,BR,73.22,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
88,Constantine,DZ,56.61,broken clouds,36.365,6.6147,Grand Hotel Cirta
90,High Rock,BS,75.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
97,Tautira,PF,75.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
98,Cockburn Town,TC,77.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
99,Kaitangata,NZ,51.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
104,Vangaindrano,MG,75.13,few clouds,-23.35,47.6,Hotel Fanilo
105,Filadelfia,US,59.34,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
108,Christchurch,NZ,51.03,moderate rain,-43.5333,172.6333,The George
110,Hervey Bay,AU,69.91,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
111,Eyl,SO,76.15,overcast clouds,7.9803,49.8164,Amiin Hotel
113,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
114,Porto Empedocle,IT,58.89,overcast clouds,37.2934,13.5264,Hotel dei Pini
120,Hermanus,ZA,74.89,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
124,Lebu,CL,69.71,clear sky,-37.6167,-73.65,Hostal Las Lilas
126,Buckeye,US,68.68,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
127,Hobart,AU,57.06,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
128,George,ZA,76.55,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
129,San Patricio,US,65.93,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
131,Vaitape,PF,79.61,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
134,Wyndham,US,65.01,clear sky,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
136,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
142,Half Moon Bay,US,63.97,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
