City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Pevek,RU,69.7008,170.3133,-25.64,98,100,8.61,overcast clouds
1,Avarua,CK,-21.2078,-159.775,71.65,100,92,1.14,overcast clouds
2,Longyearbyen,SJ,78.2186,15.6401,12.04,73,0,14.97,clear sky
3,New Norfolk,AU,-42.7826,147.0587,56.7,59,92,2.64,overcast clouds
4,Bluff,NZ,-46.6,168.3333,51.8,65,75,14.34,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,74.52,64,47,11.5,scattered clouds
6,Gat,IL,31.61,34.7642,61.48,16,0,7.09,clear sky
7,Wharton,US,29.3116,-96.1027,61.92,100,40,6.91,scattered clouds
8,Port Alfred,ZA,-33.5906,26.891,79.2,83,8,18.43,clear sky
9,Carnarvon,AU,-24.8667,113.6333,82.47,69,7,12.66,clear sky
10,Castro,BR,-24.7911,-50.0119,78.24,47,0,3.98,clear sky
11,Haverfordwest,GB,51.8017,-4.9691,50.05,94,100,10.0,overcast clouds
12,Olafsvik,IS,64.8945,-23.7142,28.51,69,49,26.66,scattered clouds
13,Caravelas,BR,-17.7125,-39.2481,84.72,61,96,9.82,overcast clouds
14,Margate,GB,51.3813,1.3862,46.26,63,99,10.0,overcast clouds
15,Port Hardy,CA,50.6996,-127.4199,37.76,100,100,3.44,mist
16,Jamestown,US,42.097,-79.2353,29.52,51,100,13.8,overcast clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,0,8.05,clear sky
18,Kaspiysk,RU,42.8816,47.6392,37.58,87,6,6.71,clear sky
19,Mataura,NZ,-46.1927,168.8643,51.48,91,100,3.15,overcast clouds
20,Elizabeth City,US,36.2946,-76.2511,65.03,47,0,11.5,clear sky
21,Guarapari,BR,-20.6667,-40.4975,82.29,95,100,6.87,light rain
22,Necochea,AR,-38.5473,-58.7368,67.03,44,0,11.72,clear sky
23,Punta Arenas,CL,-53.15,-70.9167,57.31,47,40,36.82,scattered clouds
24,Cidreira,BR,-30.1811,-50.2056,79.41,68,1,15.61,clear sky
25,Vostok,RU,46.4856,135.8833,5.61,97,100,2.68,light snow
26,Changping,CN,40.2186,116.2197,20.84,62,98,0.45,overcast clouds
27,Cape Town,ZA,-33.9258,18.4232,75.11,67,0,13.8,clear sky
28,Guadalupe Y Calvo,MX,26.1,-106.9667,50.32,26,0,4.5,clear sky
29,Rikitea,PF,-23.1203,-134.9692,78.93,71,48,15.88,light rain
30,Iqaluit,CA,63.7506,-68.5145,-24.07,62,20,2.3,few clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,64.42,66,20,23.02,few clouds
32,Westport,US,41.1415,-73.3579,57.65,57,99,7.0,overcast clouds
33,Lavrentiya,RU,65.5833,-171.0,-19.64,93,12,7.07,few clouds
34,Yellowknife,CA,62.456,-114.3525,-27.58,88,0,5.75,clear sky
35,Qaanaaq,GL,77.484,-69.3632,-20.99,48,0,8.84,clear sky
36,Aklavik,CA,68.2191,-135.0107,-34.6,74,0,2.3,clear sky
37,Pisco,PE,-13.7,-76.2167,72.01,73,0,5.75,clear sky
38,Airai,TL,-8.9266,125.4092,59.67,94,83,2.44,broken clouds
39,Ushuaia,AR,-54.8,-68.3,49.62,61,75,40.29,light intensity drizzle
40,Esperance,AU,-33.8667,121.9,66.04,71,99,14.54,overcast clouds
41,Tarakan,ID,3.3,117.6333,79.81,76,100,2.73,light rain
42,Kruisfontein,ZA,-34.0033,24.7314,75.79,78,33,14.7,scattered clouds
43,Powassan,CA,46.0334,-79.3496,-1.01,71,100,10.71,overcast clouds
44,Busselton,AU,-33.65,115.3333,58.08,68,0,14.65,clear sky
45,Port Elizabeth,ZA,-33.918,25.5701,79.09,78,0,21.85,clear sky
46,Sioux Lookout,CA,50.1001,-91.917,-23.42,75,75,4.61,broken clouds
47,Grindavik,IS,63.8424,-22.4338,26.55,74,0,10.36,clear sky
48,Parabel,RU,58.6978,81.4825,-5.57,100,52,7.54,broken clouds
49,Rio Grande,BR,-32.035,-52.0986,82.51,63,18,11.99,light rain
50,Broken Hill,AU,-31.95,141.4333,74.91,25,0,5.75,clear sky
51,Bambous Virieux,MU,-20.3428,57.7575,80.85,74,20,3.44,few clouds
52,Barahona,DO,18.2085,-71.1008,85.82,51,20,11.7,few clouds
53,Hithadhoo,MV,-0.6,73.0833,81.88,67,82,9.66,broken clouds
